,Week_ending,Uid code,Brand new,Size short,Diet dummy,Container,quantity,amount,ND,Sale,PoS
86,201501,67,Coca,500ml,0,Can,25369,1850175.0,0.284210526,72.93054515353384,0.004908481365900208
87,201501,68,Fanta,500ml,0,Can,3282,201975.0,0.210526316,61.540219378427786,0.0006350126470449952
88,201501,69,Fanta,500ml,0,PET,777646,63665863.0,1.0,81.86998068529897,0.1504616224631177
89,201502,0,Other,400ml,0,Can,280,27088.0,0.063157895,96.74285714285715,5.438211046094277e-05
90,201502,2,Other,400ml,0,Glass,14492,1702058.0,0.778947368,117.44810930168369,0.002814662659999938
91,201502,8,Other,350ml,0,Can,49634,1879218.0,0.463157895,37.86150622557118,0.009640005966494405
92,201502,9,Other,350ml,0,Glass,37872,3780176.0,0.863157895,99.81453316434305,0.007355568883488659
93,201502,10,Other,350ml,1,Can,163249,4465616.0,0.421052632,27.354630043675613,0.03170651839513731
94,201502,11,Other,350ml,1,Glass,208,24188.0,0.084210526,116.28846153846153,4.039813919955749e-05
95,201502,13,Syeda,350ml,0,Can,1396,73278.0,0.073684211,52.49140401146132,0.00027113366501241466
96,201502,14,Syeda,350ml,0,PET,21987,2082656.0,0.536842105,94.72215400009097,0.0042703552239455305
97,201502,15,Syeda,350ml,1,PET,127185,13746533.0,0.915789474,108.08297362110312,0.024702102567767878
98,201502,16,Orangina,350ml,0,Can,7867,335312.0,0.063157895,42.622600737256896,0.001527943082129417
99,201502,17,Ito,350ml,0,Can,206,12494.0,0.084210526,60.650485436893206,4.0009695553407896e-05
100,201502,19,Calpis,350ml,0,Can,10394,485232.0,0.052631579,46.68385607081008,0.0020187416290394253
101,201502,20,Cc,350ml,0,Can,3256,145025.0,0.073684211,44.540847665847664,0.0006323862559315345
102,201502,22,Pepsi,350ml,0,Can,36,2444.0,0.021052632,67.88888888888889,6.991985630692642e-06
103,201502,23,Pepsi,350ml,1,Can,288,11916.0,0.021052632,41.375,5.593588504554113e-05
104,201502,24,Sun L.,350ml,1,Can,166,18450.0,0.010526316,111.144578313253,3.224082263041607e-05
105,201502,25,Coca,350ml,0,Can,15567,1010345.0,0.336842105,64.90299993576154,0.003023451119805343
106,201502,26,Fanta,350ml,0,Can,4928,284376.0,0.242105263,57.70616883116883,0.0009571251441125927
107,201502,28,Coca,350ml,1,Can,1330,85451.0,0.147368421,64.24887218045113,0.0002583150246894782
108,201502,29,Mets,350ml,0,Can,6726,294758.0,0.052631579,43.823669342848646,0.0013063359820010751
109,201502,32,Other,450ml,0,PET,140,12796.0,0.073684211,91.4,2.7191055230471385e-05
110,201502,34,Other,450ml,0,Glass,22,3954.0,0.010526316,179.72727272727272,4.272880107645504e-06
111,201502,36,Orangina,450ml,0,PET,602592,49089474.0,1.0,81.46386609845467,0.11703651681028723
